"","Order","Coverage","TargetCoverage","Method"
"90","Coleoptera","TargetCoverage",43.4961942822161,"AH"
"91","Dermaptera","TargetCoverage",44.5064915567593,"AH"
"92","Diptera","TargetCoverage",39.414834123782,"AH"
"93","Embioptera","TargetCoverage",31.09032033,"AH"
"94","Ephemeroptera","TargetCoverage",44.1114593593039,"AH"
"95","Grylloblattodea","TargetCoverage",89.00908105375,"AH"
"96","Hemiptera","TargetCoverage",42.6131587994012,"AH"
"97","Hymenoptera","TargetCoverage",43.9649843323878,"AH"
"98","Isoptera","TargetCoverage",44.8677781850163,"AH"
"99","Lepidoptera","TargetCoverage",40.4421843237355,"AH"
"100","Mantodea","TargetCoverage",46.1027838855306,"AH"
"101","Mantophasmatodea","TargetCoverage",61.60060591,"AH"
"102","Mecoptera","TargetCoverage",55.6794687232,"AH"
"103","Megaloptera","TargetCoverage",46.2566182831081,"AH"
"104","Neuroptera","TargetCoverage",37.2570502576302,"AH"
"105","Odonata","TargetCoverage",39.8563320200339,"AH"
"106","Orthoptera","TargetCoverage",48.4215343128927,"AH"
"107","Phasmatodea","TargetCoverage",54.554919825942,"AH"
"108","Phthiraptera","TargetCoverage",55.3684792288146,"AH"
"109","Plecoptera","TargetCoverage",55.4489425495089,"AH"
"110","Psocoptera","TargetCoverage",45.0677055528026,"AH"
"111","Raphidioptera","TargetCoverage",41.3651612913333,"AH"
"112","Siphonaptera","TargetCoverage",43.2401694356805,"AH"
"113","Strepsiptera","TargetCoverage",45.0775579044444,"AH"
"114","Thysanoptera","TargetCoverage",46.177056003281,"AH"
"115","Trichoptera","TargetCoverage",46.4962875777385,"AH"
"116","Zygentoma","TargetCoverage",47.775335359,"AH"
